Time Stamp,Time Zone,Fuel Category,Gen MWh
07/19/2017 04:25:00,EDT,Nuclear,5278.0
07/19/2017 04:25:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:25:00,EDT,Other Renewables,286.0
07/19/2017 04:25:00,EDT,Wind,325.0
07/19/2017 04:25:00,EDT,Hydro,2799.0
07/19/2017 04:30:00,EDT,Dual Fuel,3121.0
07/19/2017 04:30:00,EDT,Natural Gas,3066.0
07/19/2017 04:30:00,EDT,Nuclear,5279.0
07/19/2017 04:30:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:30:00,EDT,Other Renewables,288.0
07/19/2017 04:30:00,EDT,Wind,325.0
07/19/2017 04:30:00,EDT,Hydro,2755.0
07/19/2017 04:35:00,EDT,Dual Fuel,3158.0
07/19/2017 04:35:00,EDT,Natural Gas,3064.0
07/19/2017 04:35:00,EDT,Nuclear,5281.0
07/19/2017 04:35:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:35:00,EDT,Other Renewables,289.0
07/19/2017 04:35:00,EDT,Wind,331.0
07/19/2017 04:35:00,EDT,Hydro,2769.0
07/19/2017 04:40:00,EDT,Dual Fuel,3183.0
07/19/2017 04:40:00,EDT,Natural Gas,3065.0
07/19/2017 04:40:00,EDT,Nuclear,5278.0
07/19/2017 04:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:40:00,EDT,Other Renewables,291.0
07/19/2017 04:40:00,EDT,Wind,332.0
07/19/2017 04:40:00,EDT,Hydro,2774.0
07/19/2017 04:45:00,EDT,Dual Fuel,3191.0
07/19/2017 04:45:00,EDT,Natural Gas,3079.0
07/19/2017 04:45:00,EDT,Nuclear,5279.0
07/19/2017 04:45:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:45:00,EDT,Other Renewables,287.0
07/19/2017 04:45:00,EDT,Wind,330.0
07/19/2017 04:45:00,EDT,Hydro,2768.0
07/19/2017 04:50:00,EDT,Dual Fuel,3190.0
07/19/2017 04:50:00,EDT,Natural Gas,3083.0
07/19/2017 04:50:00,EDT,Nuclear,5279.0
07/19/2017 04:50:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:50:00,EDT,Other Renewables,282.0
07/19/2017 04:50:00,EDT,Wind,331.0
07/19/2017 04:50:00,EDT,Hydro,2766.0
07/19/2017 04:55:00,EDT,Dual Fuel,3232.0
07/19/2017 04:55:00,EDT,Natural Gas,3085.0
07/19/2017 04:55:00,EDT,Nuclear,5279.0
07/19/2017 04:55:00,EDT,Other Fossil Fuels,0.0
07/19/2017 04:55:00,EDT,Other Renewables,285.0
07/19/2017 04:55:00,EDT,Wind,335.0
07/19/2017 04:55:00,EDT,Hydro,2770.0
07/19/2017 05:00:00,EDT,Dual Fuel,3269.0
07/19/2017 05:00:00,EDT,Natural Gas,3078.0
07/19/2017 05:00:00,EDT,Nuclear,5281.0
07/19/2017 05:00:00,EDT,Other Fossil Fuels,0.0
07/19/2017 05:00:00,EDT,Other Renewables,292.0
07/19/2017 05:00:00,EDT,Wind,345.0
07/19/2017 05:00:00,EDT,Hydro,2757.0
07/19/2017 05:05:00,EDT,Dual Fuel,3213.0
07/19/2017 05:05:00,EDT,Natural Gas,3090.0
07/19/2017 05:05:00,EDT,Nuclear,5281.0
07/19/2017 05:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 05:05:00,EDT,Other Renewables,289.0
07/19/2017 05:05:00,EDT,Wind,349.0
07/19/2017 05:05:00,EDT,Hydro,2787.0
07/19/2017 05:10:00,EDT,Dual Fuel,3184.0
07/19/2017 05:10:00,EDT,Natural Gas,3107.0
07/19/2017 05:10:00,EDT,Nuclear,5282.0
07/19/2017 05:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 05:10:00,EDT,Other Renewables,290.0
07/19/2017 05:10:00,EDT,Wind,357.0
07/19/2017 05:10:00,EDT,Hydro,2831.0
07/19/2017 05:15:00,EDT,Dual Fuel,3226.0
07/19/2017 05:15:00,EDT,Natural Gas,3094.0
07/19/2017 05:15:00,EDT,Nuclear,5280.0
07/19/2017 05:15:00,EDT,Other Fossil Fuels,2.0
07/19/2017 05:15:00,EDT,Other Renewables,292.0
07/19/2017 05:15:00,EDT,Wind,373.0
07/19/2017 05:15:00,EDT,Hydro,2852.0
07/19/2017 05:20:00,EDT,Dual Fuel,3179.0
07/19/2017 05:20:00,EDT,Natural Gas,3071.0
07/19/2017 05:20:00,EDT,Nuclear,5282.0
07/19/2017 05:20:00,EDT,Other Fossil Fuels,2.0
07/19/2017 05:20:00,EDT,Other Renewables,288.0
07/19/2017 05:20:00,EDT,Wind,375.0
07/19/2017 05:20:00,EDT,Hydro,2808.0
07/19/2017 05:25:00,EDT,Dual Fuel,3226.0
07/19/2017 05:25:00,EDT,Natural Gas,3087.0
07/19/2017 05:25:00,EDT,Nuclear,5280.0
07/19/2017 05:25:00,EDT,Other Fossil Fuels,2.0
07/19/2017 05:25:00,EDT,Other Renewables,288.0
07/19/2017 05:25:00,EDT,Wind,384.0
07/19/2017 05:25:00,EDT,Hydro,2798.0
07/19/2017 05:30:00,EDT,Dual Fuel,3268.0
07/19/2017 05:30:00,EDT,Natural Gas,3086.0
07/19/2017 05:30:00,EDT,Nuclear,5280.0
07/19/2017 05:30:00,EDT,Other Fossil Fuels,3.0
07/19/2017 05:30:00,EDT,Other Renewables,288.0
07/19/2017 05:30:00,EDT,Wind,397.0
07/19/2017 05:30:00,EDT,Hydro,2793.0
07/19/2017 05:35:00,EDT,Dual Fuel,3257.0
07/19/2017 05:35:00,EDT,Natural Gas,3088.0
07/19/2017 05:35:00,EDT,Nuclear,5278.0
07/19/2017 05:35:00,EDT,Other Fossil Fuels,7.0
07/19/2017 05:35:00,EDT,Other Renewables,287.0
07/19/2017 05:35:00,EDT,Wind,405.0
07/19/2017 05:35:00,EDT,Hydro,2798.0
07/19/2017 05:40:00,EDT,Dual Fuel,3318.0
07/19/2017 05:40:00,EDT,Natural Gas,3083.0
07/19/2017 05:40:00,EDT,Nuclear,5277.0
07/19/2017 05:40:00,EDT,Other Fossil Fuels,8.0
07/19/2017 05:40:00,EDT,Other Renewables,290.0
07/19/2017 05:40:00,EDT,Wind,420.0
07/19/2017 05:40:00,EDT,Hydro,2831.0
07/19/2017 05:45:00,EDT,Dual Fuel,3364.0
07/19/2017 05:45:00,EDT,Natural Gas,3059.0
07/19/2017 05:45:00,EDT,Nuclear,5275.0
07/19/2017 05:45:00,EDT,Other Fossil Fuels,4.0
07/19/2017 05:45:00,EDT,Other Renewables,287.0
07/19/2017 05:45:00,EDT,Wind,430.0
07/19/2017 05:45:00,EDT,Hydro,2807.0
07/19/2017 05:50:00,EDT,Dual Fuel,3319.0
07/19/2017 05:50:00,EDT,Natural Gas,3059.0
07/19/2017 05:50:00,EDT,Nuclear,5277.0
