LMP,Load,temperature
27.49,42608.84,7.90
29.65,43414.72,7.30
33.09,44997.72,7.50
34.56,47909.31,7.40
41.23,52054.00,7.40
66.49,54032.11,6.80
64.39,52471.59,5.90
32.88,50036.78,5.70
31.65,47736.44,5.60
28.04,45661.35,5.40
25.51,43922.32,5.10
24.97,42485.29,5.30
22.78,41426.71,6.60
21.47,40800.89,9.20
22.74,40988.74,13.00
24.78,42115.08,14.80
45.85,44979.61,15.70
51.75,46424.24,16.20
50.02,46871.91,16.30
46.15,46516.59,15.90
36.60,45184.35,14.80
31.38,43884.61,11.10
28.30,43400.19,9.00
32.62,43632.66,8.30
31.52,44315.84,7.50
34.13,45359.88,6.70
35.22,47210.95,5.80
40.00,50489.65,4.70
56.82,54885.52,3.80
112.25,56468.23,2.90
42.92,54011.18,2.30
28.33,50322.65,1.80
25.58,47062.04,1.30
24.25,44502.57,0.90
22.64,42479.69,0.70
22.92,41211.22,2.40
18.83,40189.49,6.20
17.13,39724.76,9.70
11.01,39963.68,13.90
18.55,40649.01,15.70
33.95,42836.36,16.60
30.46,44023.16,17.10
28.73,44248.57,17.20
27.02,43770.22,16.90
23.70,42418.14,16.10
23.41,40944.89,13.30
25.95,40242.39,10.50
30.25,40172.75,8.40
37.42,40623.79,7.10
38.24,41592.77,6.30
39.13,43489.84,5.70
42.27,46615.08,5.30
53.73,51115.52,4.80
728.93,52805.02,4.30
42.79,50665.60,3.90
28.64,47598.60,3.40
28.40,44785.24,3.10
29.45,42498.19,2.80
25.79,40893.07,2.60
26.91,40116.36,4.50
26.72,39554.21,7.60
29.09,39279.55,11.10
28.84,39493.21,14.60
28.03,40039.41,17.00
38.30,41672.51,18.50
36.35,42328.47,19.30
33.90,42296.49,19.70
28.90,41555.21,19.50
31.80,40212.07,18.30
26.80,38772.46,14.50
24.23,38032.69,11.70
25.78,37967.01,10.30
25.18,38419.34,9.40
29.94,39196.11,8.70
28.69,40822.24,8.00
29.26,43939.56,7.20
36.52,48432.62,6.40
44.22,50158.26,6.10
37.68,48284.80,6.10
25.94,45628.70,6.30
27.01,43256.69,6.70
30.64,41356.46,7.00
29.62,40254.05,6.70
29.66,39752.92,7.10
29.17,39461.30,8.50
25.86,39260.04,11.30
25.89,39443.46,15.20
26.57,39855.07,18.80
39.40,41283.00,20.20
44.69,41968.05,20.80
35.81,41694.12,20.80
30.38,40872.68,20.30
25.55,39237.48,19.20
22.67,37710.40,15.00
18.04,36909.99,12.20
12.26,36774.48,11.30
23.36,37052.78,10.70
29.16,37604.16,10.20
42.09,38938.81,9.50
37.22,41563.00,9.10
25.04,45488.21,8.70
27.87,47136.67,8.20
25.71,45941.55,7.90
23.85,44083.45,7.60
19.34,42532.19,7.30
21.09,41208.73,7.30
21.95,40407.87,7.30
25.22,40056.57,9.00
21.97,39921.55,12.40
18.94,40035.78,15.70
17.65,40223.79,18.40
12.43,40347.82,20.00
18.87,40953.84,21.00
19.68,41004.08,21.50
13.41,40404.31,21.50
19.47,39523.73,21.00
3.53,38231.25,19.60
1.71,36680.18,15.80
0.59,35339.63,13.40
-3.56,34643.24,12.90
-5.01,34456.21,12.10
1.45,34652.91,11.30
-1.40,35126.06,10.60
4.73,36352.48,10.10
18.31,38170.68,9.80
25.70,40381.11,9.60
24.40,42567.74,9.50
25.05,44449.66,9.70
20.69,45622.16,10.20
19.46,45975.29,10.80
18.38,46011.31,10.30
19.98,45377.18,11.20
24.25,44173.94,13.30
19.57,43315.91,15.00
0.89,43208.05,16.30
17.21,44237.53,16.60
34.51,47031.78,15.70
36.99,48514.40,14.00
39.84,49065.80,11.60
50.75,49243.49,9.70
64.31,48776.31,8.40
42.11,48195.73,7.20
29.52,47838.26,6.40
26.10,47862.57,5.90
26.47,48130.16,5.50
28.20,48629.28,4.90
31.69,49506.34,4.00
31.97,50760.28,3.10
35.78,52532.45,2.20
58.27,53839.68,1.10
38.17,52926.90,0.30
32.15,50582.21,-0.60
29.14,47640.28,-1.20
28.68,44806.40,-1.70
28.41,42402.09,-2.10
26.09,40499.62,-0.50
23.07,39137.43,2.70
20.20,38538.30,6.70
19.47,38649.38,9.60
22.35,38962.58,11.90
30.00,40441.55,13.70
26.82,41548.05,14.70
23.61,42254.65,15.20
23.15,43161.17,15.10
23.21,42712.45,14.30
22.13,41684.17,11.40
17.42,41075.95,11.00
18.90,41064.74,11.00
20.15,41383.13,9.50
20.80,42274.90,7.60
21.55,43915.27,5.90
23.21,46968.65,4.80
28.48,51436.30,4.20
39.70,53147.92,3.70
27.60,51070.50,3.20
31.32,48063.30,2.70
