,0
1733,Brazoria
1734,Wharton
1735,Wharton
1736,Wharton
1737,Harris
1738,Harris
1739,Harris
1740,Harris
1741,Harris
1742,Harris
1743,Fort Bend
1744,Jackson
1745,Harris
1746,Fort Bend
1747,Austin
1748,Fort Bend
1749,Fort Bend
1750,Fort Bend
1751,Harris
1752,Harris
1753,Fort Bend
1754,Fort Bend
1755,Fort Bend
1756,Fort Bend
1757,Fort Bend
1758,Fort Bend
1759,Fort Bend
1760,Fort Bend
1761,Fort Bend
1762,Fort Bend
1763,Fort Bend
1764,Fort Bend
1765,Fort Bend
1766,Fort Bend
1767,Fort Bend
1768,Fort Bend
1769,Harris
1770,Galveston
1771,Wharton
1772,Harris
1773,Harris
1774,Harris
1775,Harris
1776,Harris
1777,Harris
1778,Harris
1779,Harris
1780,Harris
1781,Harris
1782,Harris
1783,Harris
1784,Harris
1785,Harris
1786,Harris
1787,Brazoria
1788,Harris
1789,Harris
1790,Brazoria
1791,Harris
1792,Harris
1793,Harris
1794,Harris
1795,Harris
1796,Montgomery
1797,Montgomery
1798,Montgomery
1799,Chambers
1800,Matagorda
1801,Harris
1802,Harris
1803,Harris
1804,Fort Bend
1805,Harris
1806,Harris
1807,Harris
1808,Harris
1809,Harris
1810,Harris
1811,Harris
1812,Galveston
1813,Calhoun
1814,Calhoun
1815,Calhoun
1816,Harris
1817,Harris
1818,Montgomery
1819,Brazoria
1820,Wharton
1821,Victoria
1822,Victoria
1823,Victoria
1824,Harris
1825,Harris
1826,Harris
1827,Montgomery
1828,Montgomery
1829,Galveston
1830,Galveston
1831,Galveston
1832,Harris
1833,Brazoria
1834,Harris
1835,Brazoria
1836,Brazoria
1837,Brazoria
1838,Montgomery
1839,Madison
1840,Leon
1841,Smith
1842,Leon
1843,Angelina
1844,Angelina
1845,Smith
1846,Cherokee
1847,Henderson
1848,Grimes
1849,Leon
1850,Anderson
1851,Grimes
1852,Wood
1853,Houston
1854,Angelina
1855,Brazos
1856,Cherokee
1857,Smith
1858,Smith
1859,Van Zandt
1860,Nacogdoches
1861,Nacogdoches
1862,Angelina
1863,Angelina
1864,Anderson
1865,Smith
1866,Smith
1867,Rusk
1868,Van Zandt
1869,Grimes
1870,Grimes
1871,Grimes
1872,Grimes
1873,Grimes
1874,Grimes
1875,Grimes
1876,Madison
1877,Hopkins
1878,Van Zandt
1879,Henderson
1880,Nacogdoches
1881,Angelina
1882,Freestone
1883,Freestone
1884,Freestone
1885,Freestone
1886,Freestone
1887,Freestone
1888,Freestone
1889,Freestone
1890,Freestone
1891,Smith
