"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","08:01:51","Other","Other",1,"No"
"D","12/03/2020","08:01:51","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","08:01:51","Refuse","Renewables",319,"No"
"D","12/03/2020","08:01:51","Solar","Renewables",43,"No"
"D","12/03/2020","08:01:51","Wind","Renewables",577,"No"
"D","12/03/2020","08:01:51","Wood","Renewables",304,"No"
"D","12/03/2020","08:09:52","Hydro","Hydro",1822,"No"
"D","12/03/2020","08:09:52","Natural Gas","Natural Gas",5101,"Yes"
"D","12/03/2020","08:09:52","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","08:09:52","Oil","Oil",39,"No"
"D","12/03/2020","08:09:52","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","08:09:52","Refuse","Renewables",319,"No"
"D","12/03/2020","08:09:52","Solar","Renewables",52,"No"
"D","12/03/2020","08:09:52","Wind","Renewables",561,"No"
"D","12/03/2020","08:09:52","Wood","Renewables",306,"No"
"D","12/03/2020","08:23:51","Hydro","Hydro",1599,"No"
"D","12/03/2020","08:23:51","Natural Gas","Natural Gas",5190,"Yes"
"D","12/03/2020","08:23:51","Nuclear","Nuclear",3347,"No"
"D","12/03/2020","08:23:51","Oil","Oil",39,"No"
"D","12/03/2020","08:23:51","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","08:23:51","Refuse","Renewables",318,"No"
"D","12/03/2020","08:23:51","Solar","Renewables",69,"No"
"D","12/03/2020","08:23:51","Wind","Renewables",518,"No"
"D","12/03/2020","08:23:51","Wood","Renewables",306,"No"
"D","12/03/2020","08:29:54","Coal","Coal",1,"No"
"D","12/03/2020","08:29:54","Hydro","Hydro",1594,"No"
"D","12/03/2020","08:29:54","Natural Gas","Natural Gas",5064,"Yes"
"D","12/03/2020","08:29:54","Nuclear","Nuclear",3347,"No"
"D","12/03/2020","08:29:54","Oil","Oil",39,"No"
"D","12/03/2020","08:29:54","Other","Other",11,"No"
"D","12/03/2020","08:29:54","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","08:29:54","Refuse","Renewables",324,"No"
"D","12/03/2020","08:29:54","Solar","Renewables",76,"No"
"D","12/03/2020","08:29:54","Wind","Renewables",511,"No"
"D","12/03/2020","08:29:54","Wood","Renewables",305,"No"
"D","12/03/2020","08:35:20","Hydro","Hydro",1596,"No"
"D","12/03/2020","08:35:20","Natural Gas","Natural Gas",4968,"Yes"
"D","12/03/2020","08:35:20","Nuclear","Nuclear",3347,"No"
"D","12/03/2020","08:35:20","Oil","Oil",39,"No"
"D","12/03/2020","08:35:20","Other","Other",40,"No"
"D","12/03/2020","08:35:20","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","08:35:20","Refuse","Renewables",324,"No"
"D","12/03/2020","08:35:20","Solar","Renewables",84,"No"
"D","12/03/2020","08:35:20","Wind","Renewables",506,"No"
"D","12/03/2020","08:35:20","Wood","Renewables",304,"No"
"D","12/03/2020","08:45:41","Hydro","Hydro",1592,"No"
"D","12/03/2020","08:45:41","Natural Gas","Natural Gas",4951,"Yes"
"D","12/03/2020","08:45:41","Nuclear","Nuclear",3348,"No"
