Date,LMP,Node
1/18/2017 3:00:00 PM,29.89,.Z.MAINE
1/18/2017 3:00:00 PM,30.02,.Z.NEMASSBOST
1/18/2017 3:00:00 PM,30.26,.Z.NEWHAMPSHIRE
1/18/2017 3:00:00 PM,29.95,.Z.RHODEISLAND
1/18/2017 3:00:00 PM,29.97,.Z.SEMASS
1/18/2017 3:00:00 PM,30.21,.Z.VERMONT
1/18/2017 3:00:00 PM,30.21,.Z.WCMASS
1/18/2017 4:00:00 PM,33.49,.Z.CONNECTICUT
1/18/2017 4:00:00 PM,33.66,.Z.MAINE
1/18/2017 4:00:00 PM,33.51,.Z.NEMASSBOST
1/18/2017 4:00:00 PM,33.84,.Z.NEWHAMPSHIRE
1/18/2017 4:00:00 PM,33.11,.Z.RHODEISLAND
1/18/2017 4:00:00 PM,33.35,.Z.SEMASS
1/18/2017 4:00:00 PM,34.03,.Z.VERMONT
1/18/2017 4:00:00 PM,33.65,.Z.WCMASS
1/18/2017 5:00:00 PM,46.93,.Z.CONNECTICUT
1/18/2017 5:00:00 PM,47.58,.Z.MAINE
1/18/2017 5:00:00 PM,47.09,.Z.NEMASSBOST
1/18/2017 5:00:00 PM,47.63,.Z.NEWHAMPSHIRE
1/18/2017 5:00:00 PM,46.44,.Z.RHODEISLAND
1/18/2017 5:00:00 PM,46.86,.Z.SEMASS
1/18/2017 5:00:00 PM,47.76,.Z.VERMONT
1/18/2017 5:00:00 PM,47.22,.Z.WCMASS
1/18/2017 6:00:00 PM,38.54,.Z.CONNECTICUT
1/18/2017 6:00:00 PM,38.85,.Z.MAINE
1/18/2017 6:00:00 PM,38.52,.Z.NEMASSBOST
1/18/2017 6:00:00 PM,38.94,.Z.NEWHAMPSHIRE
1/18/2017 6:00:00 PM,38.01,.Z.RHODEISLAND
1/18/2017 6:00:00 PM,38.32,.Z.SEMASS
1/18/2017 6:00:00 PM,39.04,.Z.VERMONT
1/18/2017 6:00:00 PM,38.63,.Z.WCMASS
