"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/6/2021 11 a.m. CST",5491,368,688,719,134,1286,281,2102,480,2266,3838,1615,3535,674,3886,4508,1155
SWPP,"2/6/2021 12 p.m. CST",5443,368,672,719,137,1290,286,2131,486,2243,3863,1616,3489,653,3918,4422,1137
SWPP,"2/6/2021 1 p.m. CST",5340,363,643,718,139,1291,287,2131,479,2184,3872,1600,3422,642,3934,4383,1124
SWPP,"2/6/2021 2 p.m. CST",5273,354,638,719,140,1277,287,2132,466,2104,3823,1579,3378,633,3916,4313,1101
SWPP,"2/6/2021 3 p.m. CST",5204,351,644,712,142,1277,288,2136,447,2081,3781,1552,3319,620,3882,4243,1083
SWPP,"2/6/2021 4 p.m. CST",5178,354,655,709,148,1280,287,2143,445,2053,3786,1548,3289,598,3848,4231,1097
SWPP,"2/6/2021 5 p.m. CST",5239,367,677,710,151,1303,291,2161,450,2114,3849,1578,3289,588,3879,4292,1137
SWPP,"2/6/2021 6 p.m. CST",5386,390,714,720,156,1352,297,2231,476,2219,3975,1629,3297,595,3968,4430,1175
SWPP,"2/6/2021 7 p.m. CST",5595,407,744,734,161,1388,314,2297,502,2333,4056,1693,3335,610,4087,4560,1209
SWPP,"2/6/2021 8 p.m. CST",5610,407,742,730,160,1379,311,2276,498,2331,4059,1678,3443,617,4080,4563,1225
SWPP,"2/6/2021 9 p.m. CST",5607,401,747,731,157,1372,309,2245,490,2299,4001,1646,3447,619,4046,4527,1221
SWPP,"2/6/2021 10 p.m. CST",5525,390,731,725,152,1353,305,2217,478,2310,3959,1615,3448,624,3989,4458,1211
SWPP,"2/6/2021 11 p.m. CST",5367,374,717,724,146,1318,300,2164,460,2260,3873,1563,3448,616,3876,4383,1184
SWPP,"2/7/2021 12 a.m. CST",5206,362,693,719,142,1296,294,2108,444,2197,3770,1513,3426,598,3769,4321,1154
SWPP,"2/7/2021 1 a.m. CST",5080,354,676,741,139,1282,289,2080,434,2112,3689,1477,3395,580,3690,4281,1129
SWPP,"2/7/2021 2 a.m. CST",5030,350,678,733,137,1284,287,2067,428,2158,3646,1454,3375,568,3664,4273,1119
SWPP,"2/7/2021 3 a.m. CST",5040,347,685,695,136,1288,284,2060,422,2152,3552,1443,3374,568,3653,4270,1118
SWPP,"2/7/2021 4 a.m. CST",5044,348,689,712,136,1288,285,2072,424,2162,3531,1437,3376,575,3657,4259,1125
SWPP,"2/7/2021 5 a.m. CST",5077,354,705,694,138,1302,287,2106,427,2160,3567,1444,3414,578,3705,4282,1133
SWPP,"2/7/2021 6 a.m. CST",5174,363,727,675,139,1310,292,2151,439,2187,3627,1472,3446,571,3754,4334,1151
SWPP,"2/7/2021 7 a.m. CST",5328,375,755,687,142,1339,298,2220,455,2224,3726,1506,3490,585,3857,4440,1176
SWPP,"2/7/2021 8 a.m. CST",5523,388,796,696,144,1393,299,2285,469,2280,3793,1539,3555,593,3966,4564,1212
SWPP,"2/7/2021 9 a.m. CST",5716,403,833,708,152,1433,306,2368,484,2312,3903,1571,3561,601,4080,4625,1248
SWPP,"2/7/2021 10 a.m. CST",5868,416,847,716,158,1476,315,2453,493,2346,4016,1608,3549,609,4188,4595,1272
SWPP,"2/7/2021 11 a.m. CST",5854,423,846,723,161,1495,320,2514,502,2350,4086,1623,3589,620,4255,4545,1276
